#,tree#,Subplot #<E-W>,Subplot #<S-N>,X (E-W) (m),Y (S-N) (m),Species,DBH_2010 (cm),TreeHeight_2010 (m),Canopy projection (cm)_2010_N,Canopy projection (cm)_2010_W,Canopy projection (cm)_2010_S,Canopy projection (cm)_2010_E,Lowest foliage height_2010 (m),DBH2014 (cm),TreeHeight_2014 (m)
258,J259,1,3,6.8,25.99,Picea mariana,2.2,2.24,NA,NA,NA,NA,NA,2.4,2.35
259,J260,1,3,6.2,26.83,Picea mariana,3.7,3.56,50,42,37,56,0.3,4,3.67
260,J261,1,3,5.6,25.99,Picea mariana,1.7,1.99,NA,NA,NA,NA,NA,2,2.18
261,J262,1,3,5.5,25.94,Picea mariana,1.8,2.21,NA,NA,NA,NA,NA,1.9,2.24
262,J263,1,3,5.5,26.14,Picea mariana,1.1,1.55,NA,NA,NA,NA,NA,1.7,1.68
263,J264,1,3,5.3,25.99,Picea mariana,1.8,2.04,NA,NA,NA,NA,NA,2.2,2.26
264,J265,1,3,5.5,26.83,Picea mariana,1.9,2.11,NA,NA,NA,NA,NA,3.6,2.24
265,J266,1,3,4.6,26.19,Picea mariana,1.8,1.99,NA,NA,NA,NA,NA,3.7,2.02
266,J267,1,3,3.6,26.32,Picea mariana,2.9,3.18,NA,NA,NA,NA,NA,3.1,5.89
267,J268,1,3,2.3,27.97,Picea mariana,8,5,NA,NA,NA,NA,NA,NA,NA
268,J269,1,3,4.2,27.54,Picea mariana,2.8,2.51,NA,NA,NA,NA,NA,3.2,2.58
269,J270,1,3,4.6,27.69,Picea mariana,2.3,2.11,NA,NA,NA,NA,NA,2.8,2.1
270,J271,1,3,3.8,28.91,Picea mariana,2.4,2.57,NA,NA,NA,NA,NA,2.8,2.73
271,J272,1,3,4.3,28.66,Picea mariana,2,2.01,NA,NA,NA,NA,NA,2.2,2.24
272,J273,1,3,4.4,28.78,Picea mariana,2.8,2.53,NA,NA,NA,NA,NA,3.3,2.65
273,J274,1,3,4.5,29.09,Picea mariana,1.4,1.37,NA,NA,NA,NA,NA,1.1,1.43
274,J275,1,3,9.8,28.78,Picea mariana,1.4,1.77,NA,NA,NA,NA,NA,1.8,1.89
275,J276,2,3,10.3,29.34,Picea mariana,2,1.97,NA,NA,NA,NA,NA,2.5,2.1
