Year;Month;Day;Hour;Minute;Tair;RH;Prec;Snowdepth
2013;1;9;11;30;-9.70000;92.00000;0.00000;0.52000
2013;1;9;12;0;-9.80000;92.00000;0.00000;0.52000
2013;1;9;12;30;-10.00000;92.00000;0.00000;0.52000
2013;1;9;13;0;-9.90000;92.00000;0.00000;0.52000
2013;1;9;13;30;-9.70000;92.00000;0.00000;0.52000
2013;1;9;14;0;-9.50000;92.00000;0.00000;0.52000
2013;1;9;14;30;-9.30000;92.00000;0.00000;0.52000
2013;1;9;15;0;-9.10000;93.00000;0.00000;0.52000
2013;1;9;15;30;-8.90000;93.00000;0.00000;0.51000
2013;1;9;16;0;-8.70000;93.00000;0.00000;0.51000
2013;1;9;16;30;-8.50000;93.00000;0.00000;0.50000
2013;1;9;17;0;-8.30000;93.00000;0.00000;0.50000
2013;1;9;17;30;-8.10000;93.00000;0.00000;0.50000
2013;1;9;18;0;-8.00000;93.00000;0.00000;0.50000
2013;1;9;18;30;-7.90000;93.00000;0.00000;0.50000
2013;1;9;19;0;-7.90000;93.00000;0.00000;0.50000
2013;1;9;19;30;-7.90000;93.00000;0.00000;0.50000
2013;1;9;20;0;-7.90000;93.00000;0.00000;0.50000
2013;1;9;20;30;-7.90000;93.00000;0.00000;0.50000
2013;1;9;21;0;-8.10000;93.00000;0.00000;0.50000
2013;1;9;21;30;-8.40000;93.00000;0.00000;0.50000
2013;1;9;22;0;-8.40000;93.00000;0.00000;0.50000
2013;1;9;22;30;-8.50000;93.00000;0.00000;0.52000
